n,m,hilow
889,1318,low
587,1321,hi
895,1322,low
588,1324,hi
893,1325,low
899,1329,low
902,1333,low
594,1337,hi
905,1338,low
596,1342,hi
908,1343,low
904,1344,low
598,1347,hi
912,1349,low
915,1351,low
917,1356,low
603,1358,hi
918,1359,low
604,1361,hi
922,1364,low
923,1370,low
926,1371,low
935,1373,low
610,1374,hi
612,1379,hi
938,1381,low
613,1382,hi
936,1384,low
939,1388,low
940,1393,low
947,1398,low
945,1399,low
943,1400,low
950,1406,low
954,1409,low
959,1418,low
963,1423,low
634,1425,hi
964,1426,low
635,1428,hi
970,1431,low
969,1434,low
640,1439,hi
974,1442,low
980,1444,low
981,1447,low
644,1448,hi
978,1449,low
983,1452,low
647,1455,hi
987,1457,low
986,1459,low
649,1460,hi
988,1465,low
992,1466,low
995,1467,low
994,1469,low
654,1471,hi
998,1474,low
657,1478,hi
1003,1481,low
659,1483,hi
1004,1484,low
1007,1486,low
1008,1490,low
1012,1493,low
665,1496,hi
1013,1497,low
1017,1500,low
1019,1505,low
1018,1506,low
1024,1513,low
675,1517,hi
1030,1521,low
1033,1525,low
1035,1530,low
1038,1531,low
682,1532,hi
1036,1534,low
1041,1538,low
1045,1539,low
688,1545,hi
1047,1548,low
1052,1551,low
693,1556,hi
694,1559,hi
1056,1560,low
1059,1561,low
695,1562,hi
1062,1565,low
1058,1566,low
697,1567,hi
1064,1570,low
699,1572,hi
1065,1575,low
1067,1580,low
1072,1581,low
1073,1585,low
1077,1592,low
1081,1598,low
713,1601,hi
1086,1604,low
1089,1609,low
1088,1610,low
718,1612,hi
719,1615,hi
1093,1616,low
1091,1617,low
1098,1619,low
723,1624,hi
1099,1627,low
1102,1629,low
727,1633,hi
1104,1635,low
1108,1638,low
730,1640,hi
1112,1644,low
1120,1645,low
734,1649,hi
1113,1650,low
1116,1651,low
1118,1654,low
1123,1657,low
1122,1661,low
1126,1664,low
1127,1668,low
1130,1670,low
1129,1673,low
747,1676,hi
1135,1677,low
1139,1684,low
754,1691,hi
1147,1693,low
756,1696,hi
1148,1697,low
757,1699,hi
1149,1700,low
759,1704,hi
1157,1705,low
1155,1707,low
1156,1710,low
1159,1712,low
764,1715,hi
1160,1716,low
1162,1719,low
766,1720,hi
1167,1722,low
1165,1723,low
1164,1728,low
1170,1730,low
1172,1733,low
1171,1734,low
774,1737,hi
1177,1739,low
777,1744,hi
1182,1747,low
779,1749,hi
1183,1750,low
780,1752,hi
1189,1755,low
783,1759,hi
1191,1762,low
1192,1765,low
1198,1767,low
1193,1768,low
788,1770,hi
1203,1779,low
1204,1782,low
794,1783,hi
795,1786,hi
1209,1788,low
796,1789,hi
798,1794,hi
799,1797,hi
802,1804,hi
809,1819,hi
816,1834,hi
820,1843,hi
821,1846,hi
823,1851,hi
827,1860,hi
828,1863,hi
832,1872,hi
